rank_text,rank_href,rank,name_text,name_href,models
Complete ranking,https://db-engines.com/en/ranking,179,Splice Machine,https://db-engines.com/en/system/Splice+Machine,Relational
Complete ranking,https://db-engines.com/en/ranking,180,FrontBase,https://db-engines.com/en/system/FrontBase,Relational
Search engines,https://db-engines.com/en/ranking/search+engine,1,Elasticsearch ,https://db-engines.com/en/system/Elasticsearch,Search engine|Document store
Search engines,https://db-engines.com/en/ranking/search+engine,2,Splunk,https://db-engines.com/en/system/Splunk,Search engine
Complete ranking,https://db-engines.com/en/ranking,181,eXist-db,https://db-engines.com/en/system/eXist-db,Native XML
Complete ranking,https://db-engines.com/en/ranking,182,NexusDB,https://db-engines.com/en/system/NexusDB,Relational
Complete ranking,https://db-engines.com/en/ranking,183,SciDB,https://db-engines.com/en/system/SciDB,Multivalue
Search engines,https://db-engines.com/en/ranking/search+engine,3,Solr,https://db-engines.com/en/system/Solr,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,4,MarkLogic ,https://db-engines.com/en/system/MarkLogic,Document store|Native XML DBMS|RDF store|Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,5,Sphinx,https://db-engines.com/en/system/Sphinx,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,6,Microsoft Azure Search,https://db-engines.com/en/system/Microsoft+Azure+Search,Search engine
Complete ranking,https://db-engines.com/en/ranking,184,ObjectDB,https://db-engines.com/en/system/ObjectDB,Object oriented
Complete ranking,https://db-engines.com/en/ranking,185,Event Store,https://db-engines.com/en/system/Event+Store,Event
Complete ranking,https://db-engines.com/en/ranking,186,KairosDB,https://db-engines.com/en/system/KairosDB,Time Series
Complete ranking,https://db-engines.com/en/ranking,187,GemStone/S,https://db-engines.com/en/system/GemStone%2FS,Object oriented
Search engines,https://db-engines.com/en/ranking/search+engine,7,Algolia,https://db-engines.com/en/system/Algolia,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,8,Google Search Appliance,https://db-engines.com/en/system/Google+Search+Appliance,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,9,Amazon CloudSearch,https://db-engines.com/en/system/Amazon+CloudSearch,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,10,Xapian,https://db-engines.com/en/system/Xapian,Search engine
Complete ranking,https://db-engines.com/en/ranking,188,GBase ,https://db-engines.com/en/system/GBase,Relational
Complete ranking,https://db-engines.com/en/ranking,189,InterSystems IRIS ,https://db-engines.com/en/system/InterSystems+IRIS,Document store|Key-value store|Object oriented DBMS|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,190,OpenBase,https://db-engines.com/en/system/OpenBase,Relational
Search engines,https://db-engines.com/en/ranking/search+engine,11,CrateDB ,https://db-engines.com/en/system/CrateDB,Relational DBMS|Search engine|Document store
Search engines,https://db-engines.com/en/ranking/search+engine,12,SearchBlox,https://db-engines.com/en/system/SearchBlox,Search engine
Complete ranking,https://db-engines.com/en/ranking,191,Tokyo Cabinet,https://db-engines.com/en/system/Tokyo+Cabinet,Key-value
Complete ranking,https://db-engines.com/en/ranking,192,Kinetica,https://db-engines.com/en/system/Kinetica,Relational
Search engines,https://db-engines.com/en/ranking/search+engine,13,Manticore Search,https://db-engines.com/en/system/Manticore+Search,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,14,DBSight,https://db-engines.com/en/system/DBSight,Search engine
Search engines,https://db-engines.com/en/ranking/search+engine,15,searchxml,https://db-engines.com/en/system/searchxml,Native XML DBMS|Search engine
Complete ranking,https://db-engines.com/en/ranking,193,BoltDB,https://db-engines.com/en/system/BoltDB,Key-value
Complete ranking,https://db-engines.com/en/ranking,194,Sqrrl,https://db-engines.com/en/system/Sqrrl,Document store|Graph DBMS|Key-value store|Wide column store
Complete ranking,https://db-engines.com/en/ranking,195,MapDB,https://db-engines.com/en/system/MapDB,Key-value
Complete ranking,https://db-engines.com/en/ranking,196,VistaDB,https://db-engines.com/en/system/VistaDB,Relational
